C0000100,y_true,duration,event,max_partial_hazard,mean_partial_hazard,n_intervals,prediction_matched_base_rate,correct_matched_base_rate
75902,0,21.0,0,1.0891304970853852,0.935770067462542,11,0,True
75904,1,11.0,1,1.1633285864863225,1.1208913981882995,6,0,False
76103,1,9.0,1,1.2471650858691077,1.1715871285269688,5,1,True
76803,1,5.0,1,4.639311499653516,2.701677255057779,3,1,True
78901,0,19.0,0,0.7711247449411801,0.7279896874084485,10,0,True
79201,0,17.0,0,1.5158012141647133,1.1364713461354972,9,1,False
79202,0,19.0,0,1.0573172640548159,0.8832964006506611,10,0,True
79203,1,7.0,1,2.2485356608866267,1.9828884255151595,4,1,True
79204,1,15.0,1,1.3060010746588875,1.0189273801632024,8,1,True
80102,1,5.0,1,0.8904418298290275,0.8159575295229956,3,0,False
80301,0,19.0,0,0.7383486341757486,0.6110333283140503,10,0,True
80304,0,21.0,0,1.096844933454664,0.9563085102157589,11,0,True
80306,1,19.0,1,5.443571067240126,1.6611955739293585,10,1,True
81001,1,5.0,1,2.5576424192075926,2.005373411894659,3,1,True
81602,0,21.0,0,1.0366074692105063,0.9156391066260117,11,0,True
82001,0,21.0,0,2.586615763716044,1.329416989200045,11,1,False
82801,1,7.0,1,1.360922818760917,1.360922818760917,4,1,True
83001,0,21.0,0,0.8685802692943893,0.70251885553748,11,0,True
83101,1,3.0,1,3.1563443611257633,2.30916342465798,2,1,True
83102,1,5.0,1,1.3491362234637099,1.34913622346371,3,1,True
83401,0,21.0,0,0.727540676588291,0.6116535108997886,11,0,True
83402,1,7.0,1,2.39479268819181,2.2003469047660182,4,1,True
83601,1,9.0,1,0.6669699085410328,0.6354801892882577,5,0,False
83901,1,11.0,1,0.8852991696462327,0.8852991696462326,6,0,False
84102,1,5.0,1,1.26739661255216,1.26739661255216,3,1,True
85403,1,9.0,1,1.1756755461696746,1.1558949540205568,5,0,False
85404,1,15.0,1,1.1755054665630915,0.9560090720185221,8,0,False
85501,0,21.0,0,1.0796978237419554,0.9262792441550609,11,0,True
85603,1,3.0,1,15.06804504295765,8.000387810945337,2,1,True
86201,0,21.0,0,0.7545142761853613,0.6110355500028298,11,0,True
86202,0,15.0,0,0.83892761237191,0.7561834937423916,8,0,True
86602,1,5.0,1,2.057657105286329,1.6020776294030687,3,1,True
87602,0,21.0,0,1.5686054907050073,1.2644405635331921,11,1,False
87604,0,21.0,0,1.349292116309459,0.9966657768562797,11,1,False
87901,0,21.0,0,1.756766144341503,1.3141248917734785,11,1,False
88001,0,21.0,0,0.8067478485233103,0.7307871992660787,11,0,True
88601,0,21.0,0,1.3499303729129297,1.062690405753234,11,1,False
88602,1,17.0,1,1.3657169167274845,1.0733540273983253,9,1,True
88702,1,7.0,1,1.707969238593903,1.5061857782626251,4,1,True
89302,1,3.0,1,13.025093109419961,6.978911844176492,2,1,True
89501,0,3.0,0,1.1532533029672538,1.0270443501180226,2,0,True
90002,1,9.0,1,1.0796978237419554,1.0692594386168266,5,0,False
90603,1,15.0,1,4.320499252995057,1.649178771036961,8,1,True
91202,1,5.0,1,0.9087054566981844,0.9087054566981844,3,0,False
91402,1,11.0,1,0.9087054566981844,0.9087054566981844,6,0,False
92301,1,9.0,1,0.8964922747791386,0.8795768876978534,5,0,False
93004,1,11.0,1,1.1198670493950498,0.9557120733638221,6,0,False
93201,0,19.0,0,0.767755343093817,0.6646056170850546,10,0,True
93202,0,19.0,0,0.7192884644552969,0.6070686739185178,10,0,True
93602,1,5.0,1,5.722465943735389,4.268618235410565,3,1,True
93903,1,3.0,1,3.330191461596848,2.1108939655797725,2,1,True
95301,1,3.0,1,1.6563341203325237,1.3068625089852124,2,1,True
