csv_code,coefficient,survey_year,feature_group,question,abs_coefficient
Y0377300,-0.005806180752587871,1994,prior delinquency/contact,YA SELF-REPORT: EVER CONVICTED OF ASSAULT?,0.005806180752587871
C0574800,0.005728087129012884,1986,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - ALL CHILDREN,0.005728087129012884
Y0971000,0.005435865503923083,1998,prior delinquency/contact,YA SELF-REPORT: AGE WHEN FIRST REFERRED TO COURT-RELATED COUNSELING,0.005435865503923083
C1910300,0.005251441464140218,1998,family/home,CHILD SELF-ADMIN: HOW MUCH SAY IN RULES ABOUT WATCHING TV,0.005251441464140218
C0781800,0.004980964795079238,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER,0.004980964795079238
Y0671400,0.004789531464583478,1996,prior delinquency/contact,YA SELF-REPORT: EVER CONVICTED OF DESTRUCTION OF PROPERTY?,0.004789531464583478
C1140600,0.004652356704236052,1992,substance/risk behavior,CHILD SELF-ADMINISTERED: HAS CHILD USED OTHER DRUGS IN THE PAST 3,0.004652356704236052
Y0673400,-0.0038295747368915266,1996,prior delinquency/contact,YASR: EVER BEEN REFERRED TO COURT-RELATED COUNSELING BY,0.0038295747368915266
Y0954700,0.003764210351582369,1998,substance/risk behavior,YA SELF-REPORT:  HAVE YOU EVER USED MARIJUANA,0.003764210351582369
Y0970900,0.003745419937063662,1998,prior delinquency/contact,YA SELF-REPORT: NUMBER OF TIMES REFERRED TO COURT-RELATED,0.003745419937063662
Y0379800,-0.0025501281747756176,1994,prior delinquency/contact,YA SELF-REPORT: NUMBER OF TIMES REFERRED TO COURT-RELATED,0.0025501281747756176
C0794500,0.002265975603984648,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN,0.002265975603984648
C0564900,0.0017838812258221361,1986,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,0.0017838812258221361
C1182400,-0.0017462471420499894,1992,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,0.0017462471420499894
C1637900,0.0016255487643717403,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,0.0016255487643717403
C1197414,-0.0015031273830348683,1992,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL SCORE TRICHOTOMOUS ITEMS,0.0015031273830348683
Y0671700,-0.0008328892276201208,1996,substance/risk behavior,YA SELF-REPORT: EVER CONVICTED OF SELLING MARIJUANA OR HASHISH?,0.0008328892276201208
C1501900,-0.0007402220882307306,1994,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE,0.0007402220882307306
Y0377900,0.0,1994,substance/risk behavior,YA SELF-REPORT: EVER CONVICTED OF POSSESSION OF MARIJUANA OR,0.0
Y0378000,0.0,1994,substance/risk behavior,YA SELF-REPORT: EVER CONVICTED OF SELLING MARIJUANA OR HASHISH?,0.0
Y0970100,0.0,1998,prior delinquency/contact,YA SELF-REPORT: STILL ON PROBATION,0.0
Y0672700,0.0,1996,prior delinquency/contact,YA SELF-REPORT: STILL ON PROBATION,0.0
Y0379000,0.0,1994,prior delinquency/contact,YA SELF-REPORT: STILL ON PROBATION,0.0
