feature_index,feature,threshold,left_value,right_value,loss,iteration,csv_code,survey_year,feature_group,question
117,C1220200,3.5,0.13890524301969617,-0.057700534370761,0.1871709602272186,95,C1220200,1994,health,HEALTH: CHILD'S HEIGHT - FEET
249,C0005700,1983.0,-0.13551285998150728,0.05727261589036442,0.18710048203508986,96,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1986.0,-0.09427835480054424,0.08145540529078839,0.1870747873703961,97,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
117,C1220200,3.5,0.13579417629496257,-0.056484844358100035,0.18700540899997112,98,C1220200,1994,health,HEALTH: CHILD'S HEIGHT - FEET
249,C0005700,1983.0,-0.13249769313324247,0.05592214511770728,0.18694855614798533,99,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
117,C1220200,3.5,0.13362395646898975,-0.05563925346994391,0.18691497111347952,100,C1220200,1994,health,HEALTH: CHILD'S HEIGHT - FEET
249,C0005700,1983.0,-0.13052552228769576,0.05503459484547862,0.18685294058758475,101,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
117,C1220200,3.5,0.1314945859312212,-0.05480905807179682,0.18682757370319988,102,C1220200,1994,health,HEALTH: CHILD'S HEIGHT - FEET
249,C0005700,1983.0,-0.1285900364154241,0.054164072479694174,0.18676060773082162,103,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1986.0,-0.08955974211600459,0.07713663778357252,0.18673049213973497,104,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
117,C1220200,3.5,0.12857935670512963,-0.053668039202478805,0.18668042826913323,105,C1220200,1994,health,HEALTH: CHILD'S HEIGHT - FEET
249,C0005700,1983.0,-0.12576459812672952,0.0529004025405434,0.18662533873892748,106,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
117,C1220200,3.5,0.12654533813080296,-0.05287402323943057,0.18660021463210155,107,C1220200,1994,health,HEALTH: CHILD'S HEIGHT - FEET
249,C0005700,1983.0,-0.12391632935704071,0.05207007343908334,0.18654032420687555,108,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
117,C1220200,3.5,0.12454921074075113,-0.05209425412460148,0.1865226635873743,109,C1220200,1994,health,HEALTH: CHILD'S HEIGHT - FEET
249,C0005700,1983.0,-0.12210197026541979,0.0512555210618812,0.1864581997102689,110,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
