C0000100,C0000200,later_any_delinquency_contact_2000_2020,later_persistent_delinquency_contact_2000_2020,later_delinquency_contact_positive_item_count_2000_2020,later_delinquency_contact_positive_year_count_2000_2020,later_delinquency_contact_first_event_year_2000_2020,later_delinquency_contact_second_event_year_2000_2020,later_delinquency_contact_last_observed_year_2000_2020,later_any_justice_contact_2000_2020,later_persistent_justice_contact_2000_2020,later_justice_contact_positive_item_count_2000_2020,later_justice_contact_positive_year_count_2000_2020,later_justice_contact_first_event_year_2000_2020,later_justice_contact_second_event_year_2000_2020,later_justice_contact_last_observed_year_2000_2020
297903.0,2979.0,1.0,1.0,4.0,2.0,2014.0,2016.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
298301.0,2983.0,1.0,0.0,2.0,1.0,2008.0,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
298302.0,2983.0,1.0,0.0,2.0,1.0,2012.0,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
299001.0,2990.0,1.0,0.0,2.0,1.0,2010.0,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
299002.0,2990.0,1.0,1.0,4.0,2.0,2012.0,2014.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
299301.0,2993.0,1.0,1.0,3.0,2.0,2002.0,2012.0,2018.0,0.0,0.0,0.0,0.0,,,2018.0
299302.0,2993.0,1.0,0.0,1.0,1.0,2000.0,,2000.0,,,,,,,
299501.0,2995.0,1.0,1.0,4.0,3.0,2002.0,2014.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
300401.0,3004.0,0.0,0.0,0.0,0.0,,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
300402.0,3004.0,0.0,0.0,0.0,0.0,,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
300403.0,3004.0,1.0,1.0,3.0,2.0,2002.0,2006.0,2018.0,0.0,0.0,0.0,0.0,,,2018.0
300404.0,3004.0,1.0,1.0,4.0,2.0,2004.0,2006.0,2010.0,0.0,0.0,0.0,0.0,,,2010.0
300701.0,3007.0,,,,,,,,,,,,,,
301001.0,3010.0,0.0,0.0,0.0,0.0,,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
301101.0,3011.0,1.0,1.0,5.0,3.0,2002.0,2004.0,2018.0,0.0,0.0,0.0,0.0,,,2018.0
301102.0,3011.0,1.0,1.0,4.0,2.0,2008.0,2010.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
301201.0,3012.0,1.0,1.0,4.0,2.0,2008.0,2010.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
301301.0,3013.0,1.0,0.0,1.0,1.0,2006.0,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
301302.0,3013.0,0.0,0.0,0.0,0.0,,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
301303.0,3013.0,,,,,,,,,,,,,,
301304.0,3013.0,,,,,,,,,,,,,,
301401.0,3014.0,1.0,1.0,8.0,4.0,2000.0,2002.0,2018.0,1.0,0.0,1.0,1.0,2006.0,,2018.0
302001.0,3020.0,1.0,1.0,4.0,2.0,2006.0,2008.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
302101.0,3021.0,0.0,0.0,0.0,0.0,,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
302102.0,3021.0,0.0,0.0,0.0,0.0,,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
302103.0,3021.0,1.0,1.0,4.0,2.0,2006.0,2008.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
302104.0,3021.0,1.0,0.0,2.0,1.0,2014.0,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
302301.0,3023.0,1.0,1.0,4.0,2.0,2004.0,2006.0,2018.0,0.0,0.0,0.0,0.0,,,2018.0
302302.0,3023.0,1.0,1.0,6.0,4.0,2006.0,2008.0,2018.0,1.0,0.0,1.0,1.0,2012.0,,2018.0
302501.0,3025.0,1.0,0.0,1.0,1.0,2010.0,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
302502.0,3025.0,0.0,0.0,0.0,0.0,,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
302701.0,3027.0,0.0,0.0,0.0,0.0,,,2010.0,0.0,0.0,0.0,0.0,,,2010.0
302702.0,3027.0,0.0,0.0,0.0,0.0,,,2004.0,0.0,0.0,0.0,0.0,,,2004.0
302703.0,3027.0,1.0,1.0,3.0,2.0,2004.0,2008.0,2016.0,0.0,0.0,0.0,0.0,,,2016.0
302704.0,3027.0,1.0,1.0,6.0,4.0,2006.0,2008.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
303501.0,3035.0,0.0,0.0,0.0,0.0,,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
303502.0,3035.0,1.0,1.0,4.0,2.0,2006.0,2008.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
303503.0,3035.0,1.0,1.0,5.0,3.0,2002.0,2004.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
303504.0,3035.0,1.0,1.0,4.0,2.0,2008.0,2010.0,2018.0,0.0,0.0,0.0,0.0,,,2018.0
303505.0,3035.0,1.0,1.0,5.0,3.0,2012.0,2014.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
303601.0,3036.0,1.0,0.0,1.0,1.0,2012.0,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
303602.0,3036.0,1.0,0.0,1.0,1.0,2006.0,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
303801.0,3038.0,,,,,,,,,,,,,,
303802.0,3038.0,,,,,,,,,,,,,,
303803.0,3038.0,,,,,,,,,,,,,,
304101.0,3041.0,1.0,0.0,1.0,1.0,2008.0,,2008.0,1.0,0.0,1.0,1.0,2008.0,,2008.0
304102.0,3041.0,0.0,0.0,0.0,0.0,,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
304103.0,3041.0,1.0,1.0,7.0,4.0,2000.0,2002.0,2018.0,1.0,0.0,1.0,1.0,2004.0,,2018.0
