csv_code,ref_id,variable,survey_year,topic,selection_source,question,feature_group,year_num
C5190200,C51902.00,MS-BPI-06,2010,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH,behavioral/externalizing,2010.0
C5190600,C51906.00,MS-BPI-10,2010,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,behavioral/externalizing,2010.0
C5190700,C51907.00,MS-BPI-11,2010,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER,behavioral/externalizing,2010.0
C5190900,C51909.00,MS-BPI-13,2010,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT,behavioral/externalizing,2010.0
C5191500,C51915.00,MS-BPI-19,2010,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,behavioral/externalizing,2010.0
C5192400,C51924.00,MS-BPI-28,2010,Survey Methodology,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO,behavioral/externalizing,2010.0
Y2342510,Y23425.10,Q3-75~000011,2010,"Household, Geography & Demographics",quick_curated_logit_predictor; team_feature_lasso_top30,RESPONSIBLILITY FOR HOUSEHOLD CHORES - HOW OFTEN DOES R DRIVE OTHER,family/home,2010.0
Y2616600,Y26166.00,RESTYPE2010,2010,"Household, Geography & Demographics",quick_curated_logit_predictor; team_feature_lasso_top30,TYPE OF RESIDENCE R LIVES IN - CONSTRUCTED,family/home,2010.0
Y2341500,Y23415.00,Q3-65~000001,2010,Marriage & Cohabitation,quick_curated_logit_predictor; team_feature_lasso_top30,HOW FREQUENTLY R AND SPOUSE/PARTNER ARGUE ABOUT CHORES AND,other,2010.0
C5116300,C51163.00,CSAS024A,2010,Crime & Substance Use,crime_related_variable,CHILD SELF-ADMIN: HAS CHILD EVER SEEN STUDENT CARRY A WEAPON ON,peer/neighborhood,2010.0
