csv_code,ref_id,variable,survey_year,topic,question
C5967900,C59679.00,CSAS040E,2014,"Education, Training & Achievement Scores",CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON
Y3325701,Y33257.01,YASR-60B-J~000002,2014,Crime & Substance Use,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED
Y3325704,Y33257.04,YASR-60B-J~000005,2014,"Education, Training & Achievement Scores",HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE
Y3325801,Y33258.01,YASR-61A-D~000002,2014,Crime & Substance Use,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK
Y3326300,Y33263.00,YASR-66,2014,Other / Unclassified,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS
Y3326400,Y33264.00,YASR-67,2014,Crime & Substance Use,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?
Y3670801,Y36708.01,YASR-60B-J~000002,2016,Crime & Substance Use,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED
Y3670804,Y36708.04,YASR-60B-J~000005,2016,"Education, Training & Achievement Scores",HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE
Y3670901,Y36709.01,YASR-61A-D~000002,2016,Crime & Substance Use,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK
Y3671500,Y36715.00,YASR-66,2016,Other / Unclassified,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS
Y3671600,Y36716.00,YASR-67,2016,Crime & Substance Use,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?
Y4275601,Y42756.01,YASR-60B-J~000002,2018,Crime & Substance Use,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED
Y4275604,Y42756.04,YASR-60B-J~000005,2018,"Education, Training & Achievement Scores",HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE
Y4275701,Y42757.01,YASR-61A-D~000002,2018,Crime & Substance Use,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK
Y4276300,Y42763.00,YASR-66,2018,Other / Unclassified,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS
Y4276400,Y42764.00,YASR-67,2018,Crime & Substance Use,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?
Y4596801,Y45968.01,YASR-60B-J~000002,2020,Crime & Substance Use,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED
Y4596804,Y45968.04,YASR-60B-J~000005,2020,"Education, Training & Achievement Scores",HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE
Y4596901,Y45969.01,YASR-61A-D~000002,2020,Crime & Substance Use,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK
Y4597500,Y45975.00,YASR-66,2020,Other / Unclassified,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS
Y4597600,Y45976.00,YASR-67,2020,Crime & Substance Use,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?
