C0000100,rank,csv_code,shap_logit,abs_shap_logit,base_logit,predicted_logit,probability,y_true,ref_id,variable,survey_year,feature_group,question
136202,7,C2434400,0.3712184723323506,0.3712184723323506,-0.4582665201088846,1.4950166164521776,0.8168300456263794,1,C24344.00,MS2-19,2000,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT
136202,8,C3609100,-0.35839394607570796,0.35839394607570796,-0.4582665201088846,1.4950166164521776,0.8168300456263794,1,C36091.00,ANTIP2008,2008,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN
268001,1,C3045500,0.4811080299547189,0.4811080299547189,-0.4582665201088846,3.3893683224015776,0.9673706118576715,1,C30455.00,CSAS040B,2004,prior delinquency/contact,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO
268001,2,C2433500,0.47839530453776846,0.47839530453776846,-0.4582665201088846,3.3893683224015776,0.9673706118576715,1,C24335.00,MS2-10,2000,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME
268001,3,C1977500,0.3023849778770199,0.3023849778770199,-0.4582665201088846,3.3893683224015776,0.9673706118576715,1,C19775.00,MS984006,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH
268001,4,C3010200,0.2940888417166746,0.2940888417166746,-0.4582665201088846,3.3893683224015776,0.9673706118576715,1,C30102.00,BPI-06,2004,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH
268001,5,C3048400,0.2518406530226459,0.2518406530226459,-0.4582665201088846,3.3893683224015776,0.9673706118576715,1,C30484.00,CSAS049A,2004,other,CHILD SELF-ADMIN: OFTEN GETS IN A JAM BECAUSE R DOES THINGS W/O
268001,6,C2521400,0.21875942630111955,0.21875942630111955,-0.4582665201088846,3.3893683224015776,0.9673706118576715,1,C25214.00,NH6_112002,2002,family/home,# HOUSEHOLD MEMBERS AGED 6 - 11 IN HOUSEHOLD OF MOTHER
268001,7,C0008048,0.194489393884684,0.194489393884684,-0.4582665201088846,3.3893683224015776,0.9673706118576715,1,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD
268001,8,C6051000,0.19160299460382285,0.19160299460382285,-0.4582665201088846,3.3893683224015776,0.9673706118576715,1,C60510.00,CRES2016,2016,family/home,USUAL RESIDENCE OF CHILD
