csv_code,coefficient,mean_abs_shap_logit,mean_shap_logit,ref_id,variable,survey_year,feature_group,question
C5530700,0.05314496572990596,0.011211150529641205,0.00037450709472532556,C55307.00,BPEXTR2012,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL SCORE TRICHOTOMOUS ITEMS
C1503300,-0.01922403181551538,0.011176341557165745,0.0005703973123403686,C15033.00,ANTIZ1994,1994,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - ALL CHILDREN
C0797104,-0.02241495858883522,0.011013507519790364,0.0006154852441559656,C07971.04,BPEXTR1988,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL SCORE TRICHOTOMOUS ITEMS
C6031900,0.05111116296686015,0.010995536927679092,0.0007016248528607523,C60319.00,MS-BPI-06,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH
C0733000,-0.10274752728739404,0.01092223506127534,-0.00017899602799076677,C07330.00,CS884248,1988,substance/risk behavior,CHILD SELF-ADMINISTERED: R'S AGE WHEN FIRST DRANK ALCOHOL
C2497400,-0.018878350331822637,0.010902384518392797,0.0010784890175690874,C24974.00,ANTI2000,2000,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE
C1795900,-0.018210597305611337,0.010848116835704458,0.0011996989911237919,C17959.00,ANTIZ1998,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - ALL CHILDREN
C5806900,-0.08100286053295148,0.010429251922976463,0.0007595817349950729,C58069.00,BPEXTR2014,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL SCORE TRICHOTOMOUS ITEMS
C0565200,-0.02187952193570801,0.010276435912716353,0.0005481926751514436,C05652.00,MS860530,1986,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT
C2435300,-0.02809929483428786,0.010271431514440378,0.00027789300629033054,C24353.00,MS2-28,2000,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO
C3104900,-0.02266776362424528,0.010244790709731777,0.00043764450905043906,C31049.00,BPEXTP2006,2006,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS
