csv_code,ref_id,variable,survey_year,topic,selection_source,question,feature_group,year_num
C1505800,C15058.00,BPEXTS1994,1994,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: EXTERNAL STANDARD SCORE TRICHOTOMOUS ITEMS,behavioral/externalizing,1994.0
C1506300,C15063.00,BPMIS21994,1994,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: EXTERNAL RAW SCORE TRICHOTOMOUS ITEMS -,behavioral/externalizing,1994.0
C1437200,C14372.00,MS941513,1994,Survey Methodology,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO,behavioral/externalizing,1994.0
C0127914,C01279.14,NH12_171994,1994,"Parents, Family Process & Childhood",quick_curated_logit_predictor; substantive_lasso_top30; team_feature_lasso_top30,# HOUSEHOLD MEMBERS AGED 12 - 17 IN HOUSEHOLD OF MOTHER,family/home,1994.0
C1220200,C12202.00,CS94H-22,1994,Health,quick_curated_logit_predictor; substantive_lasso_top30; team_feature_lasso_top30,HEALTH: CHILD'S HEIGHT - FEET,health,1994.0
C1366200,C13662.00,CS942517,1994,Crime & Substance Use,crime_related_variable,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO,prior delinquency/contact,1994.0
Y0375200,Y03752.00,YASR-61E,1994,Crime & Substance Use,crime_related_variable,YA SELF-REPORT: EVER IN LAST YEAR DAMAGED PROPERTY OF OTHERS ON,prior delinquency/contact,1994.0
Y0375300,Y03753.00,YASR-61B,1994,Crime & Substance Use,crime_related_variable,YA SELF-REPORT: HAVE YOU EVER IN PAST YEAR GOTTEN INTO FIGHT AT,prior delinquency/contact,1994.0
Y0376500,Y03765.00,YASR-61O,1994,Crime & Substance Use,crime_related_variable,YA SELF-REPORT: HAVE YOU EVER IN LAST YEAR HURT SOMEONE ENOUGH TO,prior delinquency/contact,1994.0
Y0376800,Y03768.00,YASR-62A,1994,Crime & Substance Use,crime_related_variable,YASR: EVER BEEN CONVICTED OF CHARGES OTHER THAN MINOR TRAFFIC,prior delinquency/contact,1994.0
Y0376900,Y03769.00,YASR-63,1994,Crime & Substance Use,crime_related_variable,YA SELF-REPORT: NUMBER OF TIMES BEEN CONVICTED OF SOMETHING,prior delinquency/contact,1994.0
Y0377300,Y03773.00,YASR-65A~000001,1994,Crime & Substance Use,crime_related_variable,YA SELF-REPORT: EVER CONVICTED OF ASSAULT?,prior delinquency/contact,1994.0
Y0377400,Y03774.00,YASR-65A~000002,1994,Crime & Substance Use,crime_related_variable,YA SELF-REPORT: EVER CONVICTED OF ROBBERY?,prior delinquency/contact,1994.0
Y0377500,Y03775.00,YASR-65A~000003,1994,Crime & Substance Use,crime_related_variable,YA SELF-REPORT: EVER CONVICTED OF THEFT?,prior delinquency/contact,1994.0
Y0377600,Y03776.00,YASR-65A~000004,1994,Crime & Substance Use,crime_related_variable,YA SELF-REPORT: EVER CONVICTED OF FENCING/RECEIVING/SELLING STOLEN,prior delinquency/contact,1994.0
Y0377700,Y03777.00,YASR-65A~000005,1994,Crime & Substance Use,crime_related_variable,YA SELF-REPORT: EVER CONVICTED OF DESTRUCTION OF PROPERTY?,prior delinquency/contact,1994.0
Y0378600,Y03786.00,YASR-65B,1994,Crime & Substance Use,crime_related_variable,YA SELF-REPORT: EVER BEEN CONVICTED OF ANYTHING IN ADULT COURT?,prior delinquency/contact,1994.0
Y0378700,Y03787.00,YASR-67,1994,Crime & Substance Use,crime_related_variable,YA SELF-REPORT: EVER BEEN ON PROBATION?,prior delinquency/contact,1994.0
Y0379000,Y03790.00,YASR-67B,1994,Crime & Substance Use,crime_related_variable,YA SELF-REPORT: STILL ON PROBATION,prior delinquency/contact,1994.0
Y0379100,Y03791.00,YASR-66,1994,Crime & Substance Use,crime_related_variable,YASR: EVER BEEN SENTENCED TO A CORRECTIONS INSTITUTION/JAIL/REFORM,prior delinquency/contact,1994.0
Y0379700,Y03797.00,YASR-66D,1994,Crime & Substance Use,crime_related_variable,YASR: EVER BEEN REFERRED TO COURT-RELATED COUNSELING BY,prior delinquency/contact,1994.0
Y0379800,Y03798.00,YASR-66E,1994,Crime & Substance Use,crime_related_variable,YA SELF-REPORT: NUMBER OF TIMES REFERRED TO COURT-RELATED,prior delinquency/contact,1994.0
Y0379900,Y03799.00,YASR-66F,1994,Crime & Substance Use,crime_related_variable,YA SELF-REPORT: AGE WHEN FIRST REFERRED TO COURT-RELATED COUNSELING,prior delinquency/contact,1994.0
C1366500,C13665.00,CS942523,1994,"Education, Training & Achievement Scores",crime_related_variable,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON,school/achievement,1994.0
Y0380500,Y03805.00,YASR-69B,1994,Crime & Substance Use,crime_related_variable,YA SELF-REPORT: WAS VOLUNTEER WORK COURT ORDERED?,socioeconomic/work,1994.0
C1370100,C13701.00,CS942641,1994,Crime & Substance Use,crime_related_variable,CHILD SELF-ADMIN: CHILD'S AGE WHEN FIRST DRANK ALCOHOL,substance/risk behavior,1994.0
C1370500,C13705.00,CS942649,1994,Crime & Substance Use,crime_related_variable,CHILD SELF-ADMIN: CHILD'S AGE WHEN FIRST USED MARIJUANA,substance/risk behavior,1994.0
Y0377900,Y03779.00,YASR-65A~000007,1994,Crime & Substance Use,crime_related_variable,YA SELF-REPORT: EVER CONVICTED OF POSSESSION OF MARIJUANA OR,substance/risk behavior,1994.0
Y0378000,Y03780.00,YASR-65A~000008,1994,Crime & Substance Use,crime_related_variable,YA SELF-REPORT: EVER CONVICTED OF SELLING MARIJUANA OR HASHISH?,substance/risk behavior,1994.0
Y0378100,Y03781.00,YASR-65A~000009,1994,Crime & Substance Use,crime_related_variable,YA SELF-REPORT: EVER CONVICTED OF POSSESSION/USE OF ILLICIT DRUGS?,substance/risk behavior,1994.0
Y0378400,Y03784.00,YASR-65A~000012,1994,Crime & Substance Use,crime_related_variable,YASR: EVER CONVICTED OF DRINKING/PURCHASING ALCOHOL WHILE UNDER,substance/risk behavior,1994.0
S0042900,S00429.00,P1Q38F,1995,Crime & Substance Use,crime_related_variable,PRINCIPAL #1: SCHOOL PROBLEM - DEGREE OF ROBBERY OR THEFT,school/achievement,1995.0
S0043800,S00438.00,P1Q38O,1995,Crime & Substance Use,crime_related_variable,PRINCIPAL #1: SCHOOL PROBLEM - DEGREE OF POSSESSION OF WEAPONS,school/achievement,1995.0
S0062300,S00623.00,P2Q38F,1995,Crime & Substance Use,crime_related_variable,PRINCIPAL #2: SCHOOL PROBLEM - DEGREE OF ROBBERY OR THEFT,school/achievement,1995.0
S0063200,S00632.00,P2Q38O,1995,Crime & Substance Use,crime_related_variable,PRINCIPAL #2: SCHOOL PROBLEM - DEGREE OF POSSESSION OF WEAPONS,school/achievement,1995.0
S0013300,S00133.00,C1Q59,1995,"Education, Training & Achievement Scores",quick_curated_logit_predictor; team_feature_lasso_top30,SCHOOLING #1: AMOUNT OF HOMEWORK ASSIGNED AT GRADE LEVEL,school/achievement,1995.0
C1639100,C16391.00,MS961519,1996,"Education, Training & Achievement Scores",crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,behavioral/externalizing,1996.0
C1558800,C15588.00,ANTI1996,1996,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE,behavioral/externalizing,1996.0
C1559500,C15595.00,ANTIP1996,1996,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN,behavioral/externalizing,1996.0
C1560200,C15602.00,ANTIZ1996,1996,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - ALL CHILDREN,behavioral/externalizing,1996.0
C1560900,C15609.00,ANTIPX1996,1996,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - SAME SEX,behavioral/externalizing,1996.0
C1561600,C15616.00,ANTIZX1996,1996,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - SAME SEX,behavioral/externalizing,1996.0
C1562500,C15625.00,BPEXTR1996,1996,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: EXTERNAL SCORE TRICHOTOMOUS ITEMS,behavioral/externalizing,1996.0
C1562600,C15626.00,BPEXTP1996,1996,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS,behavioral/externalizing,1996.0
