C0000100,C0005700,predictor_cutoff_year,persistent_violence_contact_age15_25,n_original_bol_features_pre15_by_year
552801,1982.0,1997.0,0.0,201
552802,1987.0,2002.0,0.0,283
553001,1980.0,1995.0,1.0,150
553002,1982.0,1997.0,0.0,201
553601,1982.0,1997.0,1.0,201
553701,1986.0,2001.0,0.0,283
554701,1974.0,1989.0,0.0,53
554702,1975.0,1990.0,1.0,53
554703,1977.0,1992.0,1.0,82
554705,1980.0,1995.0,0.0,150
554801,1980.0,1995.0,0.0,150
554802,1984.0,1999.0,0.0,250
555001,1986.0,2001.0,0.0,283
555501,1977.0,1992.0,0.0,82
555502,1984.0,1999.0,0.0,250
555701,1973.0,1988.0,0.0,24
555702,1976.0,1991.0,1.0,81
556001,1978.0,1993.0,1.0,105
556101,1985.0,2000.0,1.0,250
556601,1979.0,1994.0,0.0,105
557101,1984.0,1999.0,0.0,250
557401,1986.0,2001.0,0.0,283
557701,1979.0,1994.0,0.0,105
557702,1984.0,1999.0,0.0,250
558101,1983.0,1998.0,0.0,201
558201,1982.0,1997.0,0.0,201
558301,1978.0,1993.0,0.0,105
559302,1983.0,1998.0,0.0,201
559501,1982.0,1997.0,0.0,201
559502,1983.0,1998.0,0.0,201
559601,1981.0,1996.0,0.0,155
560001,1982.0,1997.0,0.0,201
560501,1984.0,1999.0,1.0,250
560502,1984.0,1999.0,1.0,250
560601,1984.0,1999.0,0.0,250
560901,1984.0,1999.0,0.0,250
561201,1978.0,1993.0,0.0,105
561202,1979.0,1994.0,0.0,105
561203,1981.0,1996.0,0.0,155
561204,1984.0,1999.0,0.0,250
561401,1984.0,1999.0,0.0,250
561402,1985.0,2000.0,1.0,250
561403,1987.0,2002.0,0.0,283
561501,1976.0,1991.0,1.0,81
561502,1978.0,1993.0,0.0,105
561901,1985.0,2000.0,0.0,250
561902,1987.0,2002.0,0.0,283
562401,1984.0,1999.0,1.0,250
562701,1982.0,1997.0,0.0,201
562702,1985.0,2000.0,0.0,250
563101,1980.0,1995.0,0.0,150
563401,1986.0,2001.0,0.0,283
564001,1978.0,1993.0,0.0,105
564002,1980.0,1995.0,0.0,150
564601,1980.0,1995.0,1.0,150
564701,1982.0,1997.0,1.0,201
564702,1984.0,1999.0,0.0,250
564801,1980.0,1995.0,0.0,150
564802,1981.0,1996.0,0.0,155
564803,1983.0,1998.0,0.0,201
565401,1983.0,1998.0,1.0,201
565601,1985.0,2000.0,0.0,250
566901,1982.0,1997.0,0.0,201
567401,1981.0,1996.0,1.0,155
568401,1975.0,1990.0,0.0,53
568402,1976.0,1991.0,0.0,81
568502,1984.0,1999.0,0.0,250
568601,1981.0,1996.0,0.0,155
568701,1982.0,1997.0,0.0,201
568901,1977.0,1992.0,0.0,82
569501,1984.0,1999.0,0.0,250
570501,1981.0,1996.0,0.0,155
570502,1983.0,1998.0,1.0,201
570801,1987.0,2002.0,0.0,283
571301,1980.0,1995.0,0.0,150
571302,1981.0,1996.0,1.0,155
571701,1987.0,2002.0,0.0,283
572001,1977.0,1992.0,0.0,82
572002,1984.0,1999.0,0.0,250
572401,1978.0,1993.0,0.0,105
572402,1981.0,1996.0,0.0,155
572801,1985.0,2000.0,0.0,250
572901,1985.0,2000.0,0.0,250
572902,1987.0,2002.0,0.0,283
574001,1976.0,1991.0,0.0,81
574002,1979.0,1994.0,0.0,105
574003,1981.0,1996.0,1.0,155
574004,1983.0,1998.0,0.0,201
574101,1987.0,2002.0,0.0,283
574601,1982.0,1997.0,1.0,201
574602,1987.0,2002.0,0.0,283
575601,1979.0,1994.0,0.0,105
575602,1981.0,1996.0,1.0,155
575603,1983.0,1998.0,0.0,201
576601,1985.0,2000.0,0.0,250
576701,1984.0,1999.0,0.0,250
576901,1987.0,2002.0,1.0,283
577301,1984.0,1999.0,0.0,250
577401,1983.0,1998.0,0.0,201
578001,1984.0,1999.0,0.0,250
578101,1982.0,1997.0,0.0,201
578102,1986.0,2001.0,0.0,283
578201,1978.0,1993.0,1.0,105
579001,1979.0,1994.0,0.0,105
579002,1986.0,2001.0,0.0,283
579301,1980.0,1995.0,0.0,150
579302,1982.0,1997.0,0.0,201
579303,1983.0,1998.0,0.0,201
579304,1984.0,1999.0,0.0,250
579601,1975.0,1990.0,0.0,53
579801,1982.0,1997.0,0.0,201
579802,1985.0,2000.0,0.0,250
579901,1983.0,1998.0,0.0,201
580102,1987.0,2002.0,0.0,283
580301,1980.0,1995.0,0.0,150
580302,1981.0,1996.0,1.0,155
580501,1980.0,1995.0,0.0,150
580502,1981.0,1996.0,0.0,155
580601,1980.0,1995.0,0.0,150
580602,1985.0,2000.0,0.0,250
580901,1982.0,1997.0,0.0,201
580902,1987.0,2002.0,0.0,283
581302,1982.0,1997.0,0.0,201
581701,1982.0,1997.0,0.0,201
581702,1985.0,2000.0,0.0,250
581801,1978.0,1993.0,1.0,105
581802,1980.0,1995.0,0.0,150
581901,1984.0,1999.0,0.0,250
581902,1987.0,2002.0,0.0,283
582001,1985.0,2000.0,0.0,250
582002,1986.0,2001.0,0.0,283
582101,1983.0,1998.0,0.0,201
582701,1979.0,1994.0,0.0,105
582901,1980.0,1995.0,0.0,150
583401,1982.0,1997.0,0.0,201
583601,1976.0,1991.0,0.0,81
583603,1979.0,1994.0,0.0,105
583604,1984.0,1999.0,0.0,250
583901,1980.0,1995.0,0.0,150
583902,1983.0,1998.0,0.0,201
584002,1980.0,1995.0,0.0,150
584003,1982.0,1997.0,0.0,201
584004,1982.0,1997.0,0.0,201
584005,1987.0,2002.0,0.0,283
584101,1976.0,1991.0,0.0,81
584102,1980.0,1995.0,1.0,150
584402,1986.0,2001.0,0.0,283
584901,1976.0,1991.0,0.0,81
584902,1985.0,2000.0,0.0,250
