C0000100,C0000200,C0005300,C0005400,C0005700,C0005800,C0007000,first_observed_age,last_observed_age,n_observed_age_years,n_observed_age_years_15_25,any_observed_age_ge_25,observed_age_year_count_15_25,observed_survey_years_15_25,violence_positive_age_year_count_15_25,violence_first_event_age_15_25,violence_second_event_age_15_25,violence_last_event_age_15_25,violence_positive_survey_years_15_25,eligible_observed_through_age_25,persistent_violence_contact_age15_25,predictor_cutoff_age,predictor_cutoff_year
11202,112.0,3.0,2.0,1997.0,2.0,33.0,15.0,17.0,2.0,2.0,False,2.0,2012;2014,0,,,,,False,,15,2012.0
11501,115.0,3.0,2.0,1993.0,1.0,32.0,,,,,,,,0,,,,,False,,15,2008.0
11502,115.0,3.0,2.0,1994.0,2.0,33.0,,,,,,,,0,,,,,False,,15,2009.0
11503,115.0,3.0,2.0,1996.0,3.0,35.0,,,,,,,,0,,,,,False,,15,2011.0
11504,115.0,3.0,2.0,1997.0,4.0,36.0,,,,,,,,0,,,,,False,,15,2012.0
11801,118.0,3.0,1.0,1981.0,1.0,20.0,,,,,,,,0,,,,,False,,15,1996.0
11802,118.0,3.0,2.0,1991.0,2.0,29.0,,,,,,,,0,,,,,False,,15,2006.0
12101,121.0,3.0,1.0,1992.0,1.0,28.0,16.0,20.0,3.0,3.0,False,3.0,2008;2010;2012,0,,,,,False,,15,2007.0
12401,124.0,3.0,2.0,1988.0,1.0,27.0,16.0,24.0,5.0,5.0,False,5.0,2004;2006;2008;2010;2012,0,,,,,False,,15,2003.0
12402,124.0,3.0,1.0,1990.0,2.0,28.0,16.0,22.0,4.0,4.0,False,4.0,2006;2008;2010;2012,2,16.0,20.0,20.0,2006;2010,False,,15,2005.0
12801,128.0,3.0,1.0,1982.0,1.0,24.0,16.0,30.0,8.0,5.0,True,5.0,1998;2000;2002;2004;2006,0,,,,,True,0.0,15,1997.0
12802,128.0,3.0,2.0,1986.0,2.0,27.0,16.0,26.0,6.0,5.0,True,5.0,2002;2004;2006;2008;2010,0,,,,,True,0.0,15,2001.0
13301,133.0,3.0,1.0,1992.0,1.0,29.0,16.0,20.0,2.0,2.0,False,2.0,2008;2012,0,,,,,False,,15,2007.0
13701,137.0,3.0,1.0,1988.0,1.0,26.0,16.0,24.0,5.0,5.0,False,5.0,2004;2006;2008;2010;2012,0,,,,,False,,15,2003.0
13702,137.0,3.0,2.0,1991.0,2.0,29.0,15.0,21.0,4.0,4.0,False,4.0,2006;2008;2010;2012,0,,,,,False,,15,2006.0
13801,138.0,3.0,1.0,1989.0,1.0,26.0,15.0,23.0,5.0,5.0,False,5.0,2004;2006;2008;2010;2012,0,,,,,False,,15,2004.0
